sample_id,id,question
fin_086,3232,Why buy a vertical spread if I could instead buy a naked call?
fin_087,2332,How do I calculate the quarterly returns of a stock index?
fin_088,565,"If I have some old gold jewellery, is it worth it to sell it for its melt value?"
fin_089,3436,Are RSUs ever taxed as long term capital gains?
fin_090,1799,What does “Net Depreciation in Fair Value” mean on a financial report?
fin_091,980,Alternatives to Intuit's PayTrust service for online bill viewing and bill payment?
fin_092,1709,Where can I lookup accurate current exchange rates for consumers?
fin_093,1361,What are the advantages and disadvantages of leasing out a property or part of a property (such as a basement apartment)?
fin_094,1363,What does Capital Surplus mean?
fin_095,369,"Selling an app, sharing income, how does it work tax-wise?"
fin_096,4135,Will anything happen to me if the AMT is not re-established before 2011?
fin_097,34,"How to record business income tax paid, in QuickBooks?"
fin_098,1486,Is there any instance where less leverage will get you a better return on a rental property?
fin_099,1223,Do property taxes get deducted 100% from the Annual Tax Return or only a fraction of them?
